common_name,Species,ANVAUCFold72.1,ANVAUCFold72.33,ANVAUCFold72.11,ANVCellDeath72.1,ANVCellDeath72.33,ANVCellDeath72.11,TotalRecords,NeoplasiaPrevalence,SE,Proliferation,lifespan
Four-toed Hedgehog,Atelerix albiventris,2.834205934,1.566841187,1.419197208,3.753062471,2.155676827,1.860587748,147,0.448979592,0.08247861,36.09375,136.8
Opossum,Didelphis marsupialis,5.79516212,2.642305713,2.409161091,2.266071957,1.348664185,1.170961109,96,0.35416667,0.102062073,27.28346457,64.8
Ferret,Mustela putorius,4.223640231,2.582193862,1.651169857,31.21745693,20.31870119,10.60793156,105,0.628571429,0.097590007,29.36440678,133.2
Brown Rat,Rattus norvegicus,1.467458223,1.08003518,1.045294635,3.383576858,2.669978994,2.783702532,354,0.344632768,0.0531494,59.23076923,45.6
Asian elephant,Elephas maximus,24.67112132,6.2570474,1.318646899,40.30867183,13.12092759,3.819876064,22,0.409090909,0.213200716,25.2,786
Leopard,Panthera pardus,0.995301488,0.578151919,0.994518403,1.653027208,0.905572329,1.652946168,20,0.3,0.223606798,70,327.6
Domestic Rabbit,Oryctolagus cuniculus,5.093779517,1.617865335,1.165159897,16.27324333,4.733745339,3.272211809,155,0.180645161,0.080321933,35.72164948,216
Capybara,Hydrochoerus hydrochaeris,7.509512279,1.634728468,1.634728468,53.34487535,10.57166597,11.5471412,55,0.181818182,0.134839972,34.47761194,181.2
Red Wallaby,Macropus rufogriseus,5.376806607,2.582587749,1.911562285,5.838442645,2.07341403,1.757304968,77,0.038961039,0.113960576,17.76923077,190.8
Linnes two-toed sloth,Choloepus didactylus,1.543608124,0.660294703,1.135802469,0.55608233,0.21453669,0.317855721,20,0.05,0.223606798,38.93258427,441.6
Nine-banded armadillo,Dasypus novemcinctus,4.18059593,1.618822674,1.350109012,5.838442645,2.07341403,1.757304968,78,0.051282051,0.113227703,21.19266055,267.6
Rock Hyrax,Procavia capensis,1.917917918,1.46021021,1.095595596,10.81303799,6.198193306,3.524875886,148,0.081081081,0.082199494,56.80327869,177.6
Rodrigues Fruit Bat,Pteropus rodricensis,2.164165931,1.747572816,1.770520741,0.398200215,0.25583871,0.172270546,61,0,0.12803688,22.07006369,336
Cape Hunting Dog,Lycaon pictus,4.286885246,1.599453552,1.342622951,15.8643461,2.843750634,2.534759037,58,0.344827586,0.131306433,58.23529412,204