common_name,Species,AUC10Gy,AUC2Gy,AUC04Gy,TotalRecords,NeoplasiaPrevalence,MalignancyPrevalence,SE,Proliferation,Change10Gy,Change2Gy,Change04Gy
Four-toed hedgehog,Atelerix albiventris,51.15418097,76.84990592,93.91412332,147,0.448979592,0.353741497,0.08247861,36.09375,45.13632065,74.02271675,93.17410813
Opossum ,Didelphis marsupialis,37.68991985,76.11010919,98.43206988,96,0.35416667,0.28125,0.102062073,27.28346457,26.06737662,71.66508562,98.18879377
Ferret,Mustela putorius,71.3073993,86.15548424,83.12768063,105,0.628571429,0.40952381,0.097590007,29.36440678,64.2257208,82.73849146,78.96338955
Brown rat,Rattus norvegicus,84.47199795,90.10682326,93.11763055,354,0.344632768,0.093220339,0.0531494,59.23076923,83.6958412,89.61231947,92.77361994
Asian elephant,Elephas maximus,69.57955326,85.46937804,93.16873229,22,0.409090909,0.045454545,0.213200716,25.2,62.47439123,82.07552836,91.57318492
Leopard,Panthera pardus ,83.57872305,102.3860291,97.76676652,20,0.3,0.1,0.223606798,70,80.38583741,102.8499588,97.33254577
Domestic rabbit,Oryctolagus cuniculus,86.04374314,107.3837007,108.3152548,155,0.180645161,0.141935484,0.080321933,35.72164948,84.6280141,108.1327067,109.1587581
Capybara,Hydrochoerus hydrochaeris,88.2517623,93.58116474,102.2828701,55,0.181818182,0.145454545,0.134839972,34.47761194,87.16473,93.00619,102.5009
Red wallaby,Notamacropus parma,27.39017928,58.53676439,96.35659131,77,0.038961039,0.025974026,0.113960576,17.76923077,21.0214769,54.89996975,96.03702317
Linnes two-toed sloth,Choloepus didactylus,67.80652955,86.01859563,94.18531636,20,0.05,0.05,0.223606798,38.93258427,62.99300356,83.92811416,93.3159124
Nine-banded armadillo,Dasypus novemcinctus,55.18536731,71.82499242,94.38786701,78,0.051282051,0.025641026,0.113227703,21.19266055,64.80922152,90.41409228,91.98769239
Rock hyrax,Procavia capensis,55.50984933,71.33497022,99.64306465,148,0.081081081,0.054054054,0.082199494,56.80327869,36.64962634,59.18331765,99.49175295
Rodrigues Fruit bat,Pteropus rodricensis,50.80379493,82.27300086,105.0032073,61,0,0,0.12803688,22.07006369,26.28602789,72.91549723,104.5865367
Cape hunting dog,Lycaon pictus,78.8982828,77.51145837,88.5188786,58,0.344827586,0.224137931,0.131306433,58.23529412,63.26730076,60.87737077,80.01430049
Ocelot,Leopardus pardalis,,,,11,0.272727273,0.181818182,0.301511345,,42.80207454,60.36999589,98.80136136
Rhino,Ceratotherium simum,,,,14,0.071428571,0.071428571,0.267261242,,29.23747562,90.73474705,99.22526671