species,x
Uraeginthus_bengalus,0
Euphonia_violacea,0
Sicalis_flaveola,0
Ramphocelus_carbo,0
Copsychus_malabaricus,0
Cossypha_polioptera,0
Phyllostomus_discolor,0
Geokichla_citrina,0
Pitta_sordida,0
Lamprotornis_splendidus,0
Ptilinopus_melanospilus,0
Phrynosoma_asio,0
Ptilinopus_superbus,0
Ptilinopus_jambu,0
Gallicolumba_luzonica,0
Rollulus_rouloul,0
Tauraco_erythrolophus,0
Musophaga_violacea,0
Eudromia_elegans,0
Agama_agama,0
Tadorna_radjah,0
Anthracoceros_malayanus,0
Lophura_edwardsi,0
Branta_ruficollis,0
Lemniscomys_barbarus,0
Microtus_agrestis,0
Acrobates_pygmaeus,0
Crex_crex,0
Phelsuma_standingi,0
Macrotus_californicus,0
Basiliscus_plumifrons,0
Chlamydosaurus_kingii,0
Erpeton_tentaculatum,0
Eurypyga_helias,0
Ctenosaura_bakeri,0
Ploceus_cucullatus,0
Lorius_lory,0
Lophodytes_cucullatus,0
Fringilla_coelebs,0
Testudo_kleinmanni,0
Egretta_garzetta,0
Lorius_garrulus,0
Bubulcus_ibis,0
Ciconia_ciconia,0
Pteropus_rodricensis,0
Saimiri_boliviensis,0
Spheniscus_demersus,0
Theristicus_melanopis,0
Cygnus_cygnus,0
Pithecia_pithecia,0
Milvus_milvus,0
Phocoena_phocoena,0
Delphinus_delphis,0
Rana_temporaria,0
Ascaphus_truei,0
Paleosuchus_palpebrosus,0
Calumma_parsonii,0
Gopherus_agassizii,0
Alytes_cisternasii,0
Alytes_muletensis,0
Anomaloglossus_beebei,0
Bufo_bufo,0
Ceratophrys_ornata,0
Crotalus_polystictus,0
Gonocephalus_chamaeleontinus,0
Incilius_coniferus,0
Langaha_madagascariensis,0
Lithobates_sevosus,0
Megophrys_nasuta,0
Naja_annulifera,0
Notophthalmus_perstriatus,0
Phyllobates_bicolor,0
Phyllobates_terribilis,0
Phyllomedusa_bicolor,0
Tribolonotus_pseudoponceleti,0
Tylototriton_shanjing,0
Typhlonectes_natans,0
Uromastyx_geyri,0
Vini_australis,0
Xenopus_longipes,0
Mantella_aurantiaca,0.00657895
Atelopus_zeteki,0.00729927
Dendrobates_tinctorius,0.00749064
Spheniscus_humboldti,0.0106383
Nectophrynoides_asperginis,0.01156069
Rana_sierrae,0.0131579
Heterocephalus_glaber,0.0137931
Boiga_dendrophila,0.01470588
Eos_bornea,0.01666667
Columba_livia,0.01818182
Agapornis_nigrigenis,0.01851852
Chrotopterus_auritus,0.02083333
Atheris_ceratophora,0.02272727
Dendrocygna_viduata,0.02380952
Bitis_arietans,0.02409639
Anaxyrus_baxteri,0.025
Trichoglossus_haematodus,0.02631579
Agalychnis_callidryas,0.02739726
Zenaida_graysoni,0.02857143
Saguinus_imperator,0.02857143
Eudocimus_ruber,0.02857143
Capra_nubiana,0.02857143
Paroaria_coronata,0.02941177
Larosterna_inca,0.02941177
Tropidolaemus_wagleri,0.02941177
Plica_plica,0.03030303
Neophema_splendida,0.03030303
Hydrodynastes_gigas,0.03030303
Aix_galericulata,0.03125
Cebuella_pygmaea,0.03125
Iguana_iguana,0.03125
Theloderma_corticale,0.03125
Uroplatus_sikorae,0.03125
Euplectes_nigroventris,0.03225807
Eidolon_helvum,0.03225807
Pavo_cristatus,0.03225807
Dryophytes_versicolor,0.03448276
Taeniopygia_guttata,0.03448276
Crotaphytus_collaris,0.03571429
Sceloporus_cyanogenys,0.03571429
Asarcornis_scutulata,0.03636364
Uroplatus_phantasticus,0.03636364
Crotalus_atrox,0.03703704
Pipa_pipa,0.03703704
Muscardinus_avellanarius,0.03846154
Thraupis_episcopus,0.03846154
Ramphastos_swainsonii,0.03921569
Callipepla_gambelii,0.04
Macaca_nigra,0.04
Simalia_boeleni,0.04
Crotalus_lepidus,0.04081633
Chloebia_gouldiae,0.04132231
Polihierax_semitorquatus,0.04166667
Momotus_momota,0.04166667
Anas_acuta,0.04347826
Varanus_salvadorii,0.04347826
Phoca_vitulina,0.04347826
Geotrypetes_seraphini,0.04347826
Elgaria_kingii,0.04545455
Rousettus_lanosus,0.04545455
Pecari_tajacu,0.04545455
Columba_hodgsonii,0.04545455
Dendropsophus_ebraccatus,0.04545455
Chamaeleo_calyptratus,0.04597701
Dacnis_lineata,0.04761905
Leiothrix_lutea,0.04761905
Morelia_spilota,0.04761905
Taurotragus_derbianus,0.04761905
Scopus_umbretta,0.05
Tympanuchus_cupido,0.05
Choloepus_didactylus,0.05
Haliaeetus_leucocephalus,0.05
Cacatua_moluccensis,0.05
Dasypus_novemcinctus,0.05128205
Stellagama_stellio,0.05263158
Ailurus_fulgens,0.05263158
Lithobates_catesbeianus,0.05405405
Pteroglossus_aracari,0.05555556
Notamacropus_parma,0.05555556
Corallus_caninus,0.05555556
Cornufer_guentheri,0.05617978
Sylvilagus_transitionalis,0.05714286
Osphranter_robustus,0.05797101
Oxyura_jamaicensis,0.05882353
Rhinella_marina,0.06060606
Artibeus_jamaicensis,0.0625
Tragelaphus_strepsiceros,0.0625
Macroscelides_proboscideus,0.06349206
Carollia_perspicillata,0.06392694
Ovis_canadensis,0.06666667
Ambystoma_mexicanum,0.06849315
Eudyptes_chrysocome,0.06896552
Pusa_hispida,0.07142857
Leptodactylus_pentadactylus,0.07142857
Sauromalus_ater,0.07317073
Podargus_strigoides,0.07407407
Oryx_leucoryx,0.07407407
Dyscophus_antongilii,0.07407407
Antilocapra_americana,0.07894737
Aepyceros_melampus,0.08
Bothriechis_schlegelii,0.08
Procavia_capensis,0.08108108
Procyon_lotor,0.08108108
Dendrolagus_goodfellowi,0.08333333
Peltophryne_lemur,0.0840708
Morelia_viridis,0.08510638
Pelecanus_occidentalis,0.08695652
Trachycephalus_resinifictrix,0.08695652
Lithobates_pipiens,0.09090909
Gazella_spekei,0.09090909
Bitis_nasicornis,0.09375
Osphranter_rufus,0.09375
Litocranius_walleri,0.09433962
Phelsuma_grandis,0.0952381
Sistrurus_miliarius,0.0952381
Agkistrodon_contortrix,0.0952381
Spilotes_pullatus,0.0952381
Varanus_prasinus,0.09756098
Furcifer_pardalis,0.09756098
Colinus_virginianus,0.1
Cercopithecus_mitis,0.1
Giraffa_camelopardalis,0.1
Chinchilla_lanigera,0.1
Sus_scrofa,0.10606061
Ducula_brenchleyi,0.10869565
Megascops_asio,0.11111111
Nyctimystes_infrafrenatus,0.11111111
Saimiri_sciureus,0.11267606
Padda_oryzivora,0.11428571
Bitis_gabonica,0.11428571
Nymphicus_hollandicus,0.11428571
Leucopsar_rothschildi,0.11538462
Rangifer_tarandus,0.11764706
Colobus_guereza,0.11764706
Lontra_canadensis,0.11904762
Mustela_nigripes,0.11956522
Heloderma_horridum,0.12121212
Rousettus_aegyptiacus,0.12280702
Acryllium_vulturinum,0.12820513
Micromys_minutus,0.13043478
Meleagris_gallopavo,0.14084507
Agapornis_fischeri,0.14285714
Equus_grevyi,0.14285714
Rhea_americana,0.14285714
Papio_hamadryas,0.15
Aix_sponsa,0.15151515
Acinonyx_jubatus,0.15189873
Crotalus_horridus,0.15384615
Cavia_fulgida,0.1559633
Dasyprocta_punctata,0.15625
Suricata_suricatta,0.15789474
Octodon_degus,0.16
Nanger_dama,0.16
Numida_meleagris,0.16666667
Crotalus_durissus,0.16666667
Addax_nasomaculatus,0.16666667
Panthera_leo,0.16666667
Lichanura_trivirgata,0.16666667
Pogona_vitticeps,0.16949153
Callithrix_jacchus,0.17021277
Sanzinia_madagascariensis,0.17391304
Heloderma_suspectum,0.17460318
Leontopithecus_chrysomelas,0.17647059
Phacochoerus_africanus,0.17647059
Oryctolagus_cuniculus,0.18064516
Hydrochoerus_hydrochaeris,0.18181818
Acrantophis_dumerili,0.18181818
Eublepharis_macularius,0.18421053
Zalophus_californianus,0.19298246
Anolis_equestris,0.2
Ambystoma_tigrinum,0.2
Boa_constrictor,0.2
Eudorcas_thomsonii,0.20689655
Melopsittacus_undulatus,0.20754717
Cynomys_ludovicianus,0.21167883
Anas_platyrhynchos,0.21212121
Saguinus_oedipus,0.21666667
Gorilla_gorilla,0.225
Panthera_tigris,0.23943662
Tiliqua_scincoides,0.24
Mandrillus_sphinx,0.25
Gallus_gallus,0.25735294
Varanus_beccarii,0.25806452
Phascolarctos_cinereus,0.26190476
Ovis_aries,0.27586207
Lemur_catta,0.28421053
Platalea_ajaja,0.29032258
Lama_glama,0.29411765
Panthera_pardus,0.3
Puma_concolor,0.30434783
Ursus_maritimus,0.30769231
Capra_hircus,0.31623932
Vulpes_zerda,0.31818182
Canis_lupus,0.33333333
Lampropeltis_getula,0.33333333
Varecia_variegata,0.33333333
Python_bivittatus,0.33333333
Pantherophis_guttatus,0.34328358
Rattus_norvegicus,0.34463277
Lycaon_pictus,0.34482759
Didelphis_marsupialis,0.35416667
Pituophis_catenifer,0.36
Panthera_uncia,0.36363636
Pan_troglodytes,0.38461539
Mus_musculus,0.3902439
Lampropeltis_triangulum,0.39130435
Petaurus_breviceps,0.4
Elephas_maximus,0.40909091
Atelerix_albiventris,0.44897959
Panthera_onca,0.45454546
Leptodactylus_fallax,0.45833333
Mustela_putorius,0.62857143